ID,Prediction,Probability
1318,ANTAGONIST,0.2222222222222222
1319,ANTAGONIST,0.35294117647058826
1320,AGONIST,0.6470588235294118
1321,ANTAGONIST,0.5
1322,AGONIST,1.0
1323,AGONIST,0.64
1324,AGONIST,0.7647058823529411
1325,AGONIST,0.8
1326,AGONIST,0.75
1327,AGONIST,0.7368421052631579
1328,AGONIST,0.8125
1329,AGONIST,0.625
1330,AGONIST,0.6818181818181818
1331,AGONIST,0.75
1332,AGONIST,0.7142857142857143
1333,ANTAGONIST,0.2222222222222222
1334,AGONIST,0.7368421052631579
1335,ANTAGONIST,0.2222222222222222
1336,AGONIST,0.7777777777777778
1337,ANTAGONIST,0.4
1338,AGONIST,1.0
1339,ANTAGONIST,0.4
1340,AGONIST,0.7777777777777778
1341,ANTAGONIST,0.47368421052631576
1342,AGONIST,0.7391304347826086
1343,ANTAGONIST,0.2222222222222222
1344,AGONIST,0.5454545454545454
1345,AGONIST,0.6
1346,AGONIST,0.5714285714285714
1347,AGONIST,0.5384615384615384
1348,ANTAGONIST,0.0
1349,ANTAGONIST,0.3125
1350,AGONIST,0.9166666666666666
1351,AGONIST,0.75
1352,AGONIST,0.6
1353,ANTAGONIST,0.5
1354,AGONIST,1.0
1355,AGONIST,1.0
1356,AGONIST,0.6923076923076923
1358,AGONIST,1.0
1359,ANTAGONIST,0.45454545454545453
1360,AGONIST,0.8888888888888888
1361,AGONIST,0.6666666666666666
1362,AGONIST,0.6153846153846154
1363,ANTAGONIST,0.25
1364,ANTAGONIST,0.23076923076923078
1365,ANTAGONIST,0.46153846153846156
1366,AGONIST,1.0
1367,AGONIST,0.7857142857142857
1368,ANTAGONIST,0.3333333333333333
1370,ANTAGONIST,0.0
1371,AGONIST,0.75
1372,AGONIST,1.0
1373,AGONIST,0.8571428571428571
1374,ANTAGONIST,0.38461538461538464
1375,ANTAGONIST,0.3333333333333333
1376,ANTAGONIST,0.47058823529411764
1377,ANTAGONIST,0.5
1378,AGONIST,0.5555555555555556
1379,AGONIST,1.0
1380,ANTAGONIST,0.42857142857142855
1381,ANTAGONIST,0.3333333333333333
1382,AGONIST,0.6
1383,AGONIST,0.6666666666666666
1384,AGONIST,0.8571428571428571
1385,AGONIST,0.8421052631578947
1386,AGONIST,0.7333333333333333
1387,AGONIST,0.6875
1388,AGONIST,0.8
1389,ANTAGONIST,0.5
1390,ANTAGONIST,0.5
1391,AGONIST,0.6428571428571429
1392,AGONIST,0.7083333333333334
1393,AGONIST,0.7142857142857143
1394,AGONIST,0.9
1395,AGONIST,0.8181818181818182
1396,AGONIST,0.7333333333333333
1397,ANTAGONIST,0.5
1398,AGONIST,0.7
1399,ANTAGONIST,0.45454545454545453
1400,ANTAGONIST,0.35714285714285715
1401,AGONIST,0.6428571428571429
1402,AGONIST,0.6666666666666666
1403,ANTAGONIST,0.42857142857142855
1404,ANTAGONIST,0.16666666666666666
1405,ANTAGONIST,0.36363636363636365
1406,ANTAGONIST,0.5
1407,AGONIST,0.5555555555555556
1408,ANTAGONIST,0.5
1409,ANTAGONIST,0.3333333333333333
1410,AGONIST,0.9166666666666666
1411,AGONIST,0.6666666666666666
1412,AGONIST,0.7142857142857143
1413,ANTAGONIST,0.42857142857142855
1414,AGONIST,1.0
1415,ANTAGONIST,0.5
