ID,Prediction,Probability
1508,AGONIST,0.8571428571428571
1509,AGONIST,0.875
1510,ANTAGONIST,0.4117647058823529
1511,AGONIST,0.5555555555555556
1512,AGONIST,0.7777777777777778
1513,AGONIST,0.7
1514,AGONIST,0.7272727272727273
1515,AGONIST,0.6666666666666666
1516,AGONIST,1.0
1517,AGONIST,0.5714285714285714
1518,ANTAGONIST,0.5
1519,AGONIST,0.6666666666666666
1520,AGONIST,0.75
1521,AGONIST,0.6
1522,AGONIST,1.0
1523,AGONIST,1.0
1525,ANTAGONIST,0.45454545454545453
1526,AGONIST,0.7857142857142857
1528,AGONIST,0.5454545454545454
1529,AGONIST,0.6
1530,AGONIST,0.6666666666666666
1531,AGONIST,0.5333333333333333
1532,AGONIST,0.8
1534,AGONIST,0.7142857142857143
1536,ANTAGONIST,0.4
1537,ANTAGONIST,0.5
1538,ANTAGONIST,0.0
1539,AGONIST,0.8
1540,AGONIST,0.75
1541,AGONIST,0.6
1542,ANTAGONIST,0.25
1543,AGONIST,0.5454545454545454
1544,AGONIST,0.6428571428571429
1545,AGONIST,0.6153846153846154
1546,ANTAGONIST,0.4166666666666667
1547,AGONIST,0.6153846153846154
1548,AGONIST,0.6153846153846154
1549,AGONIST,0.5454545454545454
1550,ANTAGONIST,0.4666666666666667
1551,ANTAGONIST,0.36363636363636365
1552,AGONIST,0.8181818181818182
1553,AGONIST,0.5555555555555556
1554,AGONIST,0.8461538461538461
1555,ANTAGONIST,0.2727272727272727
1556,AGONIST,0.6666666666666666
1557,AGONIST,0.7272727272727273
1558,AGONIST,0.8666666666666667
1559,AGONIST,0.9166666666666666
1560,ANTAGONIST,0.45454545454545453
1561,AGONIST,0.5384615384615384
1562,AGONIST,0.5714285714285714
1563,ANTAGONIST,0.5
1564,AGONIST,0.5384615384615384
1565,AGONIST,0.5454545454545454
1566,ANTAGONIST,0.5
1567,AGONIST,0.8
1568,AGONIST,0.5714285714285714
1569,AGONIST,0.6
1570,AGONIST,0.6923076923076923
1571,AGONIST,0.6428571428571429
1572,AGONIST,0.7333333333333333
1573,AGONIST,0.5714285714285714
1574,AGONIST,0.6
1575,AGONIST,0.6666666666666666
1576,ANTAGONIST,0.5
1577,AGONIST,0.9090909090909091
1578,AGONIST,0.5714285714285714
1579,AGONIST,0.6363636363636364
1580,AGONIST,0.8461538461538461
1581,AGONIST,0.6
1582,ANTAGONIST,0.3333333333333333
1583,AGONIST,0.6818181818181818
1584,AGONIST,0.7083333333333334
1585,AGONIST,0.7272727272727273
1586,AGONIST,1.0
1587,ANTAGONIST,0.5
1588,ANTAGONIST,0.36363636363636365
1589,AGONIST,0.5833333333333334
1590,AGONIST,0.6428571428571429
1591,AGONIST,0.5454545454545454
1592,AGONIST,0.5333333333333333
1593,ANTAGONIST,0.125
1594,AGONIST,0.7272727272727273
1595,AGONIST,0.9230769230769231
1596,AGONIST,0.8333333333333334
1597,AGONIST,0.5714285714285714
1598,AGONIST,0.9
1599,AGONIST,0.6
1600,AGONIST,0.6666666666666666
1601,AGONIST,0.6923076923076923
1602,AGONIST,0.6666666666666666
1603,ANTAGONIST,0.3333333333333333
1604,ANTAGONIST,0.2
1605,AGONIST,0.6666666666666666
1606,ANTAGONIST,0.5
1607,AGONIST,0.7692307692307693
1608,ANTAGONIST,0.14285714285714285
1610,AGONIST,0.9285714285714286
1611,AGONIST,0.7777777777777778
1613,AGONIST,0.75
1614,AGONIST,0.65
1615,ANTAGONIST,0.46153846153846156
1616,ANTAGONIST,0.5
1617,ANTAGONIST,0.46153846153846156
1618,AGONIST,0.8461538461538461
1619,ANTAGONIST,0.3333333333333333
1620,AGONIST,0.75
1621,ANTAGONIST,0.47058823529411764
1622,ANTAGONIST,0.38461538461538464
1623,AGONIST,0.6
1624,ANTAGONIST,0.38461538461538464
1625,ANTAGONIST,0.35714285714285715
1626,AGONIST,0.631578947368421
1627,AGONIST,0.7692307692307693
1628,ANTAGONIST,0.5
1629,ANTAGONIST,0.5
1630,ANTAGONIST,0.5
1631,ANTAGONIST,0.4117647058823529
1632,ANTAGONIST,0.47058823529411764
1633,ANTAGONIST,0.45454545454545453
1634,AGONIST,0.5263157894736842
1635,AGONIST,0.5555555555555556
1636,ANTAGONIST,0.23529411764705882
1637,ANTAGONIST,0.14285714285714285
1638,AGONIST,0.7647058823529411
1639,ANTAGONIST,0.25
1640,ANTAGONIST,0.3
1641,AGONIST,0.6666666666666666
1642,AGONIST,0.6086956521739131
1643,AGONIST,0.8888888888888888
1644,AGONIST,0.75
1645,AGONIST,0.6666666666666666
1646,AGONIST,0.7692307692307693
1647,ANTAGONIST,0.3076923076923077
1648,ANTAGONIST,0.5
1649,AGONIST,0.5714285714285714
1650,AGONIST,0.5333333333333333
1651,AGONIST,0.9375
1652,ANTAGONIST,0.25
1653,AGONIST,0.6
1654,AGONIST,0.6153846153846154
1655,AGONIST,0.6470588235294118
1656,AGONIST,0.6363636363636364
1657,AGONIST,0.75
1658,AGONIST,0.6
1659,AGONIST,0.6875
1660,AGONIST,0.6666666666666666
1661,AGONIST,1.0
1662,AGONIST,1.0
1663,AGONIST,0.7142857142857143
1664,AGONIST,0.7692307692307693
1665,AGONIST,0.8571428571428571
1666,AGONIST,0.875
1667,ANTAGONIST,0.3
1668,AGONIST,0.8
1669,AGONIST,0.6818181818181818
1670,AGONIST,0.7058823529411765
1671,ANTAGONIST,0.42857142857142855
1672,AGONIST,0.6111111111111112
1673,AGONIST,0.7222222222222222
1674,ANTAGONIST,0.5
1675,ANTAGONIST,0.23529411764705882
1676,AGONIST,0.5333333333333333
1677,AGONIST,0.8888888888888888
1678,AGONIST,0.5333333333333333
1679,AGONIST,0.6875
1680,AGONIST,0.6666666666666666
1681,AGONIST,0.7142857142857143
1682,AGONIST,0.7142857142857143
1683,ANTAGONIST,0.5
1684,AGONIST,1.0
1685,AGONIST,0.9230769230769231
1686,AGONIST,0.9285714285714286
1687,AGONIST,0.8
1688,AGONIST,0.8333333333333334
1689,AGONIST,0.9
1690,AGONIST,0.8333333333333334
1691,AGONIST,0.5833333333333334
1692,AGONIST,0.5294117647058824
1693,ANTAGONIST,0.35714285714285715
1694,ANTAGONIST,0.45454545454545453
1695,AGONIST,0.6666666666666666
1696,ANTAGONIST,0.25
1697,AGONIST,0.7142857142857143
1698,ANTAGONIST,0.5
1699,ANTAGONIST,0.45454545454545453
1700,AGONIST,0.5714285714285714
1701,AGONIST,0.5714285714285714
1702,ANTAGONIST,0.375
1703,AGONIST,0.7777777777777778
1704,AGONIST,0.9090909090909091
1705,AGONIST,0.9
1706,AGONIST,1.0
1707,AGONIST,0.6666666666666666
1708,AGONIST,0.6666666666666666
1709,AGONIST,0.7619047619047619
1710,AGONIST,0.88
1711,ANTAGONIST,0.4444444444444444
1712,AGONIST,0.6666666666666666
1713,AGONIST,0.6111111111111112
1714,AGONIST,0.6363636363636364
1715,AGONIST,0.7222222222222222
1716,ANTAGONIST,0.4666666666666667
1717,ANTAGONIST,0.4782608695652174
1718,ANTAGONIST,0.46153846153846156
1719,AGONIST,0.6111111111111112
1720,AGONIST,0.7647058823529411
1721,ANTAGONIST,0.2
1722,ANTAGONIST,0.2
1723,AGONIST,0.7272727272727273
1724,AGONIST,0.6
1725,AGONIST,0.7391304347826086
1726,AGONIST,0.6923076923076923
1727,AGONIST,0.5555555555555556
1728,ANTAGONIST,0.5
1729,AGONIST,0.5882352941176471
1730,AGONIST,0.8095238095238095
1731,AGONIST,0.5238095238095238
1732,AGONIST,0.6
1733,AGONIST,0.56
1734,AGONIST,1.0
1735,AGONIST,0.6666666666666666
1736,ANTAGONIST,0.0
1737,AGONIST,1.0
1738,AGONIST,0.6
1739,ANTAGONIST,0.5
1740,ANTAGONIST,0.14285714285714285
1741,AGONIST,1.0
1742,ANTAGONIST,0.3333333333333333
1743,ANTAGONIST,0.25
1744,ANTAGONIST,0.42857142857142855
1745,AGONIST,0.7777777777777778
1746,AGONIST,1.0
1747,AGONIST,0.6
1748,AGONIST,1.0
1749,AGONIST,1.0
1750,AGONIST,0.8571428571428571
1751,AGONIST,0.75
1752,AGONIST,0.625
1753,ANTAGONIST,0.5
1754,AGONIST,1.0
1755,AGONIST,0.5555555555555556
1756,AGONIST,0.6666666666666666
1757,ANTAGONIST,0.5
1758,ANTAGONIST,0.3333333333333333
1759,AGONIST,0.75
1760,AGONIST,0.6
1761,AGONIST,0.6666666666666666
1762,ANTAGONIST,0.25
1763,AGONIST,0.8333333333333334
1764,AGONIST,0.75
1765,ANTAGONIST,0.375
1766,AGONIST,0.8
1767,ANTAGONIST,0.0
1768,AGONIST,0.7272727272727273
1769,ANTAGONIST,0.5
1770,ANTAGONIST,0.3
1771,AGONIST,0.8333333333333334
1772,AGONIST,0.8
1773,AGONIST,1.0
1774,ANTAGONIST,0.42857142857142855
1775,AGONIST,1.0
1776,ANTAGONIST,0.42857142857142855
1777,AGONIST,0.75
1778,AGONIST,0.8571428571428571
1779,AGONIST,0.7142857142857143
1780,AGONIST,0.6470588235294118
1781,AGONIST,1.0
1782,ANTAGONIST,0.25
1783,AGONIST,0.6363636363636364
1784,AGONIST,0.625
1785,AGONIST,0.75
1786,AGONIST,0.6470588235294118
1787,AGONIST,0.6923076923076923
1788,AGONIST,0.6428571428571429
1789,AGONIST,0.8666666666666667
1790,AGONIST,0.5789473684210527
1791,AGONIST,0.75
1792,AGONIST,0.6666666666666666
1793,ANTAGONIST,0.4375
1794,AGONIST,0.6470588235294118
1795,AGONIST,0.631578947368421
1796,AGONIST,0.7058823529411765
1797,AGONIST,0.6
1798,ANTAGONIST,0.4117647058823529
1799,AGONIST,0.5714285714285714
1800,AGONIST,0.875
1801,AGONIST,0.7777777777777778
1802,AGONIST,0.6666666666666666
1803,AGONIST,0.5882352941176471
1804,AGONIST,0.6428571428571429
1805,AGONIST,0.8181818181818182
1806,AGONIST,0.6666666666666666
1807,AGONIST,0.6923076923076923
1808,AGONIST,0.7857142857142857
1809,AGONIST,0.6923076923076923
1810,AGONIST,0.5555555555555556
